NODE    ELEM     MODAL     ELEM(BEAM)
9        8        12    8       
MODAL No:        1
NODE(ELEM) No             Z1                                  Z2                                 MID
       8  -2.664e+10  -2.664e+10   2.664e+10   2.664e+10  -5.045e-06  -5.045e-06   5.045e-06   5.045e-06   5.700e-07
MODAL No:       11
NODE(ELEM) No             Z1                                  Z2                                 MID
       1  -2.241e-05   2.241e-05   2.241e-05  -2.241e-05  -3.168e+10   3.168e+10   3.168e+10  -3.168e+10  -2.426e-06
       2  -3.168e+10   3.168e+10   3.168e+10  -3.168e+10  -3.254e+10   3.254e+10   3.254e+10  -3.254e+10  -4.740e-06
       3  -3.254e+10   3.254e+10   3.254e+10  -3.254e+10  -9.385e+09   9.385e+09   9.385e+09  -9.385e+09  -7.106e-06
       4  -9.385e+09   9.385e+09   9.385e+09  -9.385e+09   2.551e+10  -2.551e+10  -2.551e+10   2.551e+10  -9.954e-06
       5   2.551e+10  -2.551e+10  -2.551e+10   2.551e+10   2.987e+10  -2.987e+10  -2.987e+10   2.987e+10  -1.134e-05
       6   2.987e+10  -2.987e+10  -2.987e+10   2.987e+10  -4.536e+08   4.536e+08   4.536e+08  -4.536e+08  -1.112e-05
       7  -4.536e+08   4.536e+08   4.536e+08  -4.536e+08  -2.935e+10   2.935e+10   2.935e+10  -2.935e+10  -8.841e-06
       8  -2.935e+10   2.935e+10   2.935e+10  -2.935e+10  -3.735e-06   3.735e-06   3.735e-06  -3.735e-06  -5.534e-06
MODAL No:       12
NODE(ELEM) No             Z1                                  Z2                                 MID
       1   4.036e-05   4.036e-05  -4.036e-05  -4.036e-05   6.323e+10   6.323e+10  -6.323e+10  -6.323e+10  -2.115e-05
       2   6.323e+10   6.323e+10  -6.323e+10  -6.323e+10   6.495e+10   6.495e+10  -6.495e+10  -6.495e+10  -4.718e-05
       3   6.495e+10   6.495e+10  -6.495e+10  -6.495e+10   1.876e+10   1.876e+10  -1.876e+10  -1.876e+10  -7.526e-05
       4   1.876e+10   1.876e+10  -1.876e+10  -1.876e+10  -5.089e+10  -5.089e+10   5.089e+10   5.089e+10  -9.643e-05
       5  -5.089e+10  -5.089e+10   5.089e+10   5.089e+10  -5.959e+10  -5.959e+10   5.959e+10   5.959e+10  -9.242e-05
       6  -5.959e+10  -5.959e+10   5.959e+10   5.959e+10   9.044e+08   9.044e+08  -9.044e+08  -9.044e+08  -8.116e-05
       7   9.044e+08   9.044e+08  -9.044e+08  -9.044e+08   5.856e+10   5.856e+10  -5.856e+10  -5.856e+10  -5.972e-05
       8   5.856e+10   5.856e+10  -5.856e+10  -5.856e+10   0.000e+00   0.000e+00   0.000e+00   0.000e+00  -2.231e-05
MODAL No:       13
NODE(ELEM) No             Z1                                  Z2                                 MID
       1   9.177e-18   9.177e-18  -9.177e-18  -9.177e-18   6.951e+10  -6.951e+10  -6.951e+10   6.951e+10  -3.707e-05
       2   6.951e+10  -6.951e+10  -6.951e+10   6.951e+10   3.482e+10  -3.482e+10  -3.482e+10   3.482e+10  -8.955e-05
       3   3.482e+10  -3.482e+10  -3.482e+10   3.482e+10  -6.180e+10   6.180e+10   6.180e+10  -6.180e+10  -1.472e-04
       4  -6.180e+10   6.180e+10   6.180e+10  -6.180e+10  -4.706e+10   4.706e+10   4.706e+10  -4.706e+10  -1.826e-04
       5  -4.706e+10   4.706e+10   4.706e+10  -4.706e+10   6.048e+10  -6.048e+10  -6.048e+10   6.048e+10  -1.480e-04
       6   6.048e+10  -6.048e+10  -6.048e+10   6.048e+10   4.941e+10  -4.941e+10  -4.941e+10   4.941e+10  -1.095e-04
       7   4.941e+10  -4.941e+10  -4.941e+10   4.941e+10  -4.930e+10   4.930e+10   4.930e+10  -4.930e+10  -7.557e-05
       8  -4.930e+10   4.930e+10   4.930e+10  -4.930e+10   7.471e-06  -7.471e-06  -7.471e-06   7.471e-06  -7.457e-06
