                                            MOTIONS (CENTER OF GRAVITY, INTERPOLATE, WNX6)
-----------------------------------------------------------------------------------------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ              Surge                Sway                 Heave                Roll                 Pitch                 Yaw
------   ----     -----------------------------------------------------------------------------------------------------------------------------
(SECS)  (RAD/S)        AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE
2.655    2.366     8.470e-001   88.344  1.052e-015    0.000  2.412e+000   37.326  1.267e-013    0.000  3.133e+001  -86.719  2.107e-013    0.000
2.632    2.387     8.378e-001   88.315  1.255e-015    0.000  2.501e+000   41.314  1.936e-013    0.000  3.162e+001  -86.696  1.732e-013    0.000
2.610    2.408     8.288e-001   88.286  1.326e-015    0.000  2.595e+000   46.289  2.159e-013    0.000  3.190e+001  -86.674  1.730e-013    0.000
2.588    2.428     8.199e-001   88.256  1.265e-015    0.000  2.683e+000   52.156  1.887e-013    0.000  3.219e+001  -86.655  2.459e-013    0.000
2.566    2.449     8.111e-001   88.225  1.140e-015    0.000  2.742e+000   58.296  1.344e-013    0.000  3.247e+001  -86.639  3.646e-013    0.000
2.544    2.469     8.025e-001   88.193  1.036e-015    0.000  2.766e+000   64.006  8.293e-014    0.000  3.276e+001  -86.624  4.907e-013    0.000
2.523    2.490     7.939e-001   88.160  9.750e-016    0.000  2.757e+000   68.631  6.392e-014    0.000  3.305e+001  -86.611  6.068e-013    0.000
2.503    2.511     7.855e-001   88.126  8.647e-016    0.000  2.726e+000   71.657  5.718e-014    0.000  3.334e+001  -86.596  7.118e-013    0.000
2.482    2.531     7.771e-001   88.091  6.418e-016    0.000  2.683e+000   74.010  3.106e-014    0.000  3.364e+001  -86.581  7.948e-013    0.000
2.462    2.552     7.689e-001   88.055  3.471e-016    0.000  2.622e+000   77.994  1.539e-014    0.000  3.393e+001  -86.570  8.222e-013    0.000
2.443    2.572     7.608e-001   88.019  2.083e-016    0.000  2.518e+000   85.463  5.431e-014    0.000  3.423e+001  -86.564  7.561e-013    0.000
2.423    2.593     7.528e-001   87.981  6.620e-016    0.000  2.335e+000   96.349  7.754e-014    0.000  3.453e+001  -86.564  5.706e-013    0.000
2.404    2.614     7.448e-001   87.942  1.365e-015    0.000  2.087e+000  107.960  7.044e-014    0.000  3.483e+001  -86.563  2.793e-013    0.000
2.385    2.634     7.370e-001   87.902  2.283e-015    0.000  1.863e+000  116.511  4.437e-014    0.000  3.513e+001  -86.557  4.570e-014    0.000
2.367    2.655     7.292e-001   87.861  3.238e-015    0.000  1.702e+000  121.518  1.744e-014    0.000  3.544e+001  -86.546  3.503e-013    0.000
2.349    2.675     7.216e-001   87.820  3.897e-015    0.000  1.591e+000  123.843  1.501e-014    0.000  3.574e+001  -86.533  6.085e-013    0.000
2.331    2.696     7.140e-001   87.779  3.923e-015    0.000  1.507e+000  123.733  2.388e-014    0.000  3.604e+001  -86.520  7.967e-013    0.000
2.313    2.717     7.065e-001   87.735  3.129e-015    0.000  1.406e+000  120.459  1.701e-014    0.000  3.635e+001  -86.505  8.895e-013    0.000
2.295    2.737     6.991e-001   87.691  1.949e-015    0.000  1.192e+000  115.430  1.160e-014    0.000  3.665e+001  -86.489  8.673e-013    0.000
2.278    2.758     6.918e-001   87.644  1.328e-015    0.000  9.060e-001  119.878  3.297e-014    0.000  3.697e+001  -86.480  8.033e-013    0.000
2.261    2.778     6.845e-001   87.598  2.266e-015    0.000  8.359e-001  133.020  4.458e-014    0.000  3.728e+001  -86.476  8.233e-013    0.000
2.245    2.799     6.773e-001   87.550  3.233e-015    0.000  8.650e-001  139.662  5.185e-014    0.000  3.758e+001  -86.472  8.094e-013    0.000
2.228    2.820     6.702e-001   87.502  3.391e-015    0.000  8.696e-001  142.364  6.031e-014    0.000  3.789e+001  -86.467  6.931e-013    0.000
2.212    2.840     6.632e-001   87.452  2.858e-015    0.000  8.372e-001  144.372  6.915e-014    0.000  3.821e+001  -86.462  5.100e-013    0.000
2.196    2.861     6.562e-001   87.401  1.946e-015    0.000  7.518e-001  147.181  6.975e-014    0.000  3.852e+001  -86.458  3.202e-013    0.000
2.181    2.881     6.493e-001   87.347  9.819e-016    0.000  5.268e-001  153.619  4.415e-014    0.000  3.884e+001  -86.451  1.898e-013    0.000
2.165    2.902     6.425e-001   87.289  4.687e-016    0.000  3.966e-001    1.408  6.389e-014    0.000  3.916e+001  -86.424  1.842e-013    0.000
2.150    2.923     6.358e-001   87.240  4.403e-016    0.000  1.784e+000   82.835  1.247e-013    0.000  3.944e+001  -86.422  2.541e-013    0.000
2.135    2.943     6.291e-001   87.185  6.185e-016    0.000  1.438e+000  105.762  3.906e-014    0.000  3.976e+001  -86.445  1.253e-013    0.000
2.120    2.964     6.224e-001   87.127  7.243e-016    0.000  1.204e+000  109.316  7.925e-014    0.000  4.009e+001  -86.450  1.221e-013    0.000
2.105    2.984     6.158e-001   87.067  7.927e-016    0.000  1.003e+000  109.071  1.157e-013    0.000  4.042e+001  -86.454  2.148e-013    0.000
2.091    3.005     6.093e-001   87.005  7.960e-016    0.000  8.284e-001  109.939  1.163e-013    0.000  4.075e+001  -86.460  2.761e-013    0.000
2.077    3.026     6.028e-001   86.943  7.231e-016    0.000  7.138e-001  113.316  9.130e-014    0.000  4.107e+001  -86.469  2.859e-013    0.000
2.063    3.046     5.964e-001   86.879  6.161e-016    0.000  6.485e-001  117.170  7.264e-014    0.000  4.141e+001  -86.480  2.602e-013    0.000
2.049    3.067     5.900e-001   86.814  5.214e-016    0.000  6.096e-001  120.371  9.350e-014    0.000  4.174e+001  -86.492  2.123e-013    0.000
2.035    3.087     5.837e-001   86.748  4.763e-016    0.000  5.804e-001  122.725  1.322e-013    0.000  4.207e+001  -86.505  1.532e-013    0.000
2.022    3.108     5.775e-001   86.680  4.812e-016    0.000  5.510e-001  124.351  1.573e-013    0.000  4.241e+001  -86.520  1.033e-013    0.000
2.008    3.129     5.713e-001   86.611  5.043e-016    0.000  5.183e-001  125.464  1.589e-013    0.000  4.275e+001  -86.536  1.199e-013    0.000
1.995    3.149     5.651e-001   86.541  5.258e-016    0.000  4.842e-001  126.270  1.438e-013    0.000  4.309e+001  -86.554  1.935e-013    0.000
1.982    3.170     5.590e-001   86.469  5.347e-016    0.000  4.505e-001  126.887  1.202e-013    0.000  4.344e+001  -86.573  2.678e-013    0.000
1.969    3.190     5.530e-001   86.396  5.268e-016    0.000  4.189e-001  127.378  9.390e-014    0.000  4.379e+001  -86.594  3.165e-013    0.000
1.957    3.211     5.470e-001   86.322  5.064e-016    0.000  3.909e-001  127.770  6.623e-014    0.000  4.414e+001  -86.616  3.242e-013    0.000
1.944    3.232     5.410e-001   86.247  4.821e-016    0.000  3.668e-001  128.066  3.713e-014    0.000  4.450e+001  -86.640  2.910e-013    0.000
1.932    3.252     5.351e-001   86.171  4.538e-016    0.000  3.457e-001  128.272  2.096e-014    0.000  4.486e+001  -86.666  2.300e-013    0.000
1.920    3.273     5.293e-001   86.094  4.046e-016    0.000  3.268e-001  128.398  3.711e-014    0.000  4.522e+001  -86.692  1.544e-013    0.000
1.908    3.293     5.235e-001   86.017  3.040e-016    0.000  3.094e-001  128.454  5.170e-014    0.000  4.559e+001  -86.721  7.711e-014    0.000
1.896    3.314     5.177e-001   85.938  1.219e-016    0.000  2.930e-001  128.451  5.368e-014    0.000  4.596e+001  -86.750  1.990e-014    0.000
1.884    3.335     5.120e-001   85.860  1.409e-016    0.000  2.774e-001  128.397  5.831e-014    0.000  4.634e+001  -86.780  5.959e-014    0.000
1.873    3.355     5.064e-001   85.780  3.860e-016    0.000  2.626e-001  128.296  8.146e-014    0.000  4.672e+001  -86.812  1.037e-013    0.000
1.861    3.376     5.008e-001   85.701  5.705e-016    0.000  2.486e-001  128.150  1.130e-013    0.000  4.711e+001  -86.844  1.328e-013    0.000
1.850    3.396     4.952e-001   85.622  6.272e-016    0.000  2.355e-001  127.963  1.371e-013    0.000  4.750e+001  -86.878  1.468e-013    0.000
1.839    3.417     4.896e-001   85.542  5.089e-016    0.000  2.233e-001  127.737  1.420e-013    0.000  4.790e+001  -86.911  1.550e-013    0.000
1.828    3.438     4.842e-001   85.463  2.780e-016    0.000  2.119e-001  127.476  1.282e-013    0.000  4.830e+001  -86.945  1.736e-013    0.000
1.817    3.458     4.787e-001   85.385  1.888e-016    0.000  2.012e-001  127.182  1.019e-013    0.000  4.871e+001  -86.980  2.030e-013    0.000
1.806    3.479     4.733e-001   85.307  3.951e-016    0.000  1.913e-001  126.857  7.000e-014    0.000  4.913e+001  -87.014  2.286e-013    0.000
1.795    3.499     4.679e-001   85.230  5.348e-016    0.000  1.819e-001  126.502  3.997e-014    0.000  4.955e+001  -87.048  2.324e-013    0.000
1.785    3.520     4.626e-001   85.155  5.052e-016    0.000  1.730e-001  126.120  1.996e-014    0.000  4.997e+001  -87.082  2.029e-013    0.000
