MOTIONS (ORIGIN OF INTERNAL CALCULATING COORDINATE, INTERPOLATE, ONLY RIDIG MODAL)
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P1   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
6.954    0.904    -2.519e-004  1.773e-001  1.773e-001   90.081
6.799    0.924    -2.698e-004  1.813e-001  1.813e-001   90.085
6.651    0.945    -2.887e-004  1.854e-001  1.854e-001   90.089
6.509    0.965    -3.087e-004  1.895e-001  1.895e-001   90.093
6.373    0.986    -3.298e-004  1.936e-001  1.936e-001   90.098
6.242    1.007    -3.521e-004  1.976e-001  1.976e-001   90.102
6.117    1.027    -3.756e-004  2.017e-001  2.017e-001   90.107
5.997    1.048    -4.004e-004  2.058e-001  2.058e-001   90.111
5.881    1.068    -4.265e-004  2.099e-001  2.099e-001   90.116
5.770    1.089    -4.541e-004  2.140e-001  2.140e-001   90.122
5.663    1.110    -4.831e-004  2.181e-001  2.181e-001   90.127
5.560    1.130    -5.136e-004  2.222e-001  2.222e-001   90.132
5.460    1.151    -5.457e-004  2.263e-001  2.263e-001   90.138
5.364    1.171    -5.795e-004  2.304e-001  2.304e-001   90.144
5.271    1.192    -6.150e-004  2.345e-001  2.345e-001   90.150
5.182    1.213    -6.524e-004  2.386e-001  2.386e-001   90.157
5.095    1.233    -6.916e-004  2.427e-001  2.427e-001   90.163
5.011    1.254    -7.328e-004  2.468e-001  2.468e-001   90.170
4.930    1.274    -7.761e-004  2.509e-001  2.509e-001   90.177
4.852    1.295    -8.215e-004  2.550e-001  2.550e-001   90.185
4.776    1.316    -8.692e-004  2.592e-001  2.592e-001   90.192
4.702    1.336    -9.192e-004  2.633e-001  2.633e-001   90.200
4.631    1.357    -9.717e-004  2.674e-001  2.674e-001   90.208
4.562    1.377    -1.027e-003  2.715e-001  2.715e-001   90.217
4.494    1.398    -1.084e-003  2.757e-001  2.757e-001   90.225
4.429    1.419    -1.145e-003  2.798e-001  2.798e-001   90.234
4.366    1.439    -1.208e-003  2.839e-001  2.839e-001   90.244
4.304    1.460    -1.274e-003  2.881e-001  2.881e-001   90.253
4.244    1.480    -1.344e-003  2.922e-001  2.922e-001   90.263
4.186    1.501    -1.416e-003  2.964e-001  2.964e-001   90.274
4.129    1.522    -1.492e-003  3.005e-001  3.005e-001   90.284
4.074    1.542    -1.572e-003  3.047e-001  3.047e-001   90.296
4.020    1.563    -1.655e-003  3.088e-001  3.089e-001   90.307
3.968    1.583    -1.742e-003  3.130e-001  3.130e-001   90.319
3.917    1.604    -1.833e-003  3.172e-001  3.172e-001   90.331
3.867    1.625    -1.928e-003  3.214e-001  3.214e-001   90.344
3.819    1.645    -2.027e-003  3.255e-001  3.255e-001   90.357
3.772    1.666    -2.131e-003  3.297e-001  3.297e-001   90.370
3.726    1.686    -2.239e-003  3.339e-001  3.339e-001   90.384
3.681    1.707    -2.353e-003  3.381e-001  3.381e-001   90.399
3.637    1.728    -2.471e-003  3.423e-001  3.423e-001   90.414
3.594    1.748    -2.595e-003  3.465e-001  3.465e-001   90.429
3.552    1.769    -2.724e-003  3.507e-001  3.507e-001   90.445
3.511    1.789    -2.858e-003  3.549e-001  3.549e-001   90.461
3.471    1.810    -2.999e-003  3.591e-001  3.591e-001   90.478
3.432    1.831    -3.146e-003  3.633e-001  3.633e-001   90.496
3.394    1.851    -3.299e-003  3.675e-001  3.676e-001   90.514
3.357    1.872    -3.459e-003  3.718e-001  3.718e-001   90.533
3.320    1.892    -3.625e-003  3.760e-001  3.760e-001   90.552
3.284    1.913    -3.799e-003  3.802e-001  3.803e-001   90.572
3.249    1.934    -3.980e-003  3.845e-001  3.845e-001   90.593
3.215    1.954    -4.169e-003  3.887e-001  3.887e-001   90.614
3.182    1.975    -4.366e-003  3.930e-001  3.930e-001   90.636
3.149    1.995    -4.571e-003  3.972e-001  3.973e-001   90.659
3.117    2.016    -4.785e-003  4.015e-001  4.015e-001   90.683
3.085    2.037    -5.008e-003  4.058e-001  4.058e-001   90.707
3.054    2.057    -5.240e-003  4.100e-001  4.101e-001   90.732
3.024    2.078    -5.482e-003  4.143e-001  4.144e-001   90.758
2.994    2.098    -5.734e-003  4.186e-001  4.186e-001   90.785
2.965    2.119    -5.996e-003  4.229e-001  4.229e-001   90.812
2.936    2.140    -6.269e-003  4.272e-001  4.272e-001   90.841
2.908    2.160    -6.554e-003  4.315e-001  4.315e-001   90.870
2.881    2.181    -6.850e-003  4.358e-001  4.359e-001   90.900
2.854    2.202    -7.158e-003  4.401e-001  4.402e-001   90.932
2.828    2.222    -7.479e-003  4.444e-001  4.445e-001   90.964
2.802    2.243    -7.813e-003  4.488e-001  4.488e-001   90.997
2.776    2.263    -8.161e-003  4.531e-001  4.532e-001   91.032
2.751    2.284    -8.522e-003  4.574e-001  4.575e-001   91.067
2.726    2.305    -8.898e-003  4.618e-001  4.619e-001   91.104
2.702    2.325    -9.289e-003  4.661e-001  4.662e-001   91.142
2.679    2.346    -9.696e-003  4.705e-001  4.706e-001   91.181
2.655    2.366    -1.012e-002  4.748e-001  4.750e-001   91.221
2.632    2.387    -1.056e-002  4.792e-001  4.793e-001   91.262
2.610    2.408    -1.101e-002  4.836e-001  4.837e-001   91.305
2.588    2.428    -1.149e-002  4.880e-001  4.881e-001   91.349
2.566    2.449    -1.198e-002  4.923e-001  4.925e-001   91.394
2.544    2.469    -1.249e-002  4.967e-001  4.969e-001   91.441
2.523    2.490    -1.303e-002  5.011e-001  5.013e-001   91.489
2.503    2.511    -1.358e-002  5.055e-001  5.057e-001   91.539
2.482    2.531    -1.415e-002  5.099e-001  5.101e-001   91.590
2.462    2.552    -1.475e-002  5.143e-001  5.145e-001   91.643
2.443    2.572    -1.537e-002  5.187e-001  5.190e-001   91.697
2.423    2.593    -1.601e-002  5.231e-001  5.234e-001   91.753
2.404    2.614    -1.667e-002  5.276e-001  5.278e-001   91.810
2.385    2.634    -1.736e-002  5.320e-001  5.323e-001   91.869
2.367    2.655    -1.808e-002  5.364e-001  5.367e-001   91.930
2.349    2.675    -1.882e-002  5.408e-001  5.412e-001   91.993
2.331    2.696    -1.959e-002  5.453e-001  5.456e-001   92.057
2.313    2.717    -2.038e-002  5.497e-001  5.501e-001   92.124
2.295    2.737    -2.121e-002  5.541e-001  5.545e-001   92.192
2.278    2.758    -2.206e-002  5.585e-001  5.590e-001   92.262
2.261    2.778    -2.294e-002  5.630e-001  5.634e-001   92.334
2.245    2.799    -2.386e-002  5.674e-001  5.679e-001   92.408
2.228    2.820    -2.480e-002  5.718e-001  5.723e-001   92.483
2.212    2.840    -2.578e-002  5.762e-001  5.768e-001   92.561
2.196    2.861    -2.679e-002  5.806e-001  5.812e-001   92.641
2.181    2.881    -2.783e-002  5.850e-001  5.857e-001   92.723
2.165    2.902    -2.890e-002  5.894e-001  5.901e-001   92.807
2.150    2.923    -3.002e-002  5.938e-001  5.946e-001   92.894
2.135    2.943    -3.116e-002  5.982e-001  5.990e-001   92.982
2.120    2.964    -3.234e-002  6.026e-001  6.035e-001   93.072
2.105    2.984    -3.356e-002  6.069e-001  6.079e-001   93.165
2.091    3.005    -3.482e-002  6.113e-001  6.123e-001   93.260
2.077    3.026    -3.611e-002  6.156e-001  6.167e-001   93.357
2.063    3.046    -3.744e-002  6.199e-001  6.211e-001   93.456
2.049    3.067    -3.880e-002  6.242e-001  6.255e-001   93.557
2.035    3.087    -4.021e-002  6.285e-001  6.298e-001   93.660
2.022    3.108    -4.165e-002  6.328e-001  6.342e-001   93.765
2.008    3.129    -4.313e-002  6.370e-001  6.385e-001   93.873
1.995    3.149    -4.464e-002  6.412e-001  6.428e-001   93.982
1.982    3.170    -4.620e-002  6.454e-001  6.471e-001   94.094
1.969    3.190    -4.779e-002  6.496e-001  6.513e-001   94.207
1.957    3.211    -4.941e-002  6.537e-001  6.556e-001   94.322
1.944    3.232    -5.107e-002  6.578e-001  6.598e-001   94.440
1.932    3.252    -5.277e-002  6.619e-001  6.640e-001   94.558
1.920    3.273    -5.450e-002  6.659e-001  6.681e-001   94.679
1.908    3.293    -5.626e-002  6.699e-001  6.722e-001   94.801
1.896    3.314    -5.805e-002  6.738e-001  6.763e-001   94.924
1.884    3.335    -5.988e-002  6.777e-001  6.804e-001   95.049
1.873    3.355    -6.173e-002  6.816e-001  6.844e-001   95.175
1.861    3.376    -6.360e-002  6.854e-001  6.883e-001   95.302
1.850    3.396    -6.550e-002  6.892e-001  6.923e-001   95.429
1.839    3.417    -6.742e-002  6.929e-001  6.961e-001   95.558
1.828    3.438    -6.936e-002  6.965e-001  7.000e-001   95.687
1.817    3.458    -7.132e-002  7.001e-001  7.038e-001   95.816
1.806    3.479    -7.329e-002  7.037e-001  7.075e-001   95.946
1.795    3.499    -7.526e-002  7.072e-001  7.112e-001   96.075
1.785    3.520    -7.725e-002  7.106e-001  7.148e-001   96.204
1.775    3.541    -7.923e-002  7.140e-001  7.184e-001   96.332
1.764    3.561    -8.122e-002  7.173e-001  7.219e-001   96.460
1.754    3.582    -8.320e-002  7.206e-001  7.254e-001   96.586
1.744    3.603    -8.517e-002  7.238e-001  7.288e-001   96.711
1.734    3.623    -8.713e-002  7.270e-001  7.322e-001   96.835
1.724    3.644    -8.908e-002  7.301e-001  7.355e-001   96.956
1.715    3.664    -9.100e-002  7.331e-001  7.388e-001   97.076
1.705    3.685    -9.290e-002  7.361e-001  7.420e-001   97.192
1.696    3.706    -9.476e-002  7.391e-001  7.451e-001   97.306
1.686    3.726    -9.660e-002  7.420e-001  7.483e-001   97.417
1.677    3.747    -9.840e-002  7.449e-001  7.513e-001   97.525
1.668    3.767    -1.002e-001  7.477e-001  7.544e-001   97.629
1.659    3.788    -1.019e-001  7.505e-001  7.574e-001   97.729
1.650    3.809    -1.035e-001  7.533e-001  7.604e-001   97.826
1.641    3.829    -1.052e-001  7.560e-001  7.633e-001   97.918
1.632    3.850    -1.067e-001  7.588e-001  7.663e-001   98.006
1.623    3.870    -1.082e-001  7.615e-001  7.692e-001   98.089
1.615    3.891    -1.097e-001  7.642e-001  7.721e-001   98.168
1.606    3.912    -1.111e-001  7.670e-001  7.750e-001   98.242
1.598    3.932    -1.124e-001  7.697e-001  7.779e-001   98.311
1.590    3.953    -1.137e-001  7.725e-001  7.809e-001   98.375
1.581    3.973    -1.150e-001  7.753e-001  7.838e-001   98.435
1.573    3.994    -1.162e-001  7.782e-001  7.868e-001   98.491
1.565    4.015    -1.173e-001  7.811e-001  7.899e-001   98.542
1.557    4.035    -1.184e-001  7.841e-001  7.930e-001   98.589
1.549    4.056    -1.195e-001  7.871e-001  7.961e-001   98.633
1.541    4.076    -1.205e-001  7.903e-001  7.994e-001   98.673
1.534    4.097    -1.216e-001  7.935e-001  8.027e-001   98.710
1.526    4.118    -1.226e-001  7.968e-001  8.062e-001   98.746
1.518    4.138    -1.236e-001  8.003e-001  8.097e-001   98.779
1.511    4.159    -1.246e-001  8.038e-001  8.134e-001   98.811
1.503    4.179    -1.256e-001  8.075e-001  8.172e-001   98.843
1.496    4.200    -1.267e-001  8.113e-001  8.212e-001   98.874
--------------------------------------------------------------
WAVE ANGLE = 60.00
PERIOD   FREQ                           P5   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
--------------------------------------------------------------
62.832   0.100     1.136e-006 -1.129e-002  1.129e-002  -89.994
52.098   0.121     6.224e-007 -1.361e-002  1.361e-002  -89.997
44.497   0.141     1.016e-006 -1.594e-002  1.594e-002  -89.996
38.831   0.162     2.038e-006 -1.827e-002  1.827e-002  -89.994
34.445   0.182     3.408e-006 -2.059e-002  2.059e-002  -89.991
30.949   0.203     4.843e-006 -2.292e-002  2.292e-002  -89.988
28.098   0.224     6.151e-006 -2.525e-002  2.525e-002  -89.986
25.727   0.244     7.374e-006 -2.757e-002  2.757e-002  -89.985
23.726   0.265     8.593e-006 -2.990e-002  2.990e-002  -89.984
22.013   0.285     9.890e-006 -3.223e-002  3.223e-002  -89.982
20.531   0.306     1.135e-005 -3.456e-002  3.456e-002  -89.981
19.236   0.327     1.302e-005 -3.688e-002  3.688e-002  -89.980
18.095   0.347     1.489e-005 -3.921e-002  3.921e-002  -89.978
17.081   0.368     1.696e-005 -4.154e-002  4.154e-002  -89.977
16.175   0.388     1.921e-005 -4.387e-002  4.387e-002  -89.975
15.361   0.409     2.162e-005 -4.620e-002  4.620e-002  -89.973
14.624   0.430     2.420e-005 -4.853e-002  4.853e-002  -89.971
13.955   0.450     2.696e-005 -5.086e-002  5.086e-002  -89.970
13.344   0.471     2.992e-005 -5.319e-002  5.319e-002  -89.968
12.785   0.491     3.308e-005 -5.553e-002  5.553e-002  -89.966
12.270   0.512     3.648e-005 -5.786e-002  5.786e-002  -89.964
11.796   0.533     4.012e-005 -6.019e-002  6.019e-002  -89.962
11.357   0.553     4.401e-005 -6.252e-002  6.252e-002  -89.960
10.949   0.574     4.816e-005 -6.486e-002  6.486e-002  -89.957
10.569   0.594     5.259e-005 -6.719e-002  6.719e-002  -89.955
10.215   0.615     5.732e-005 -6.953e-002  6.953e-002  -89.953
9.884    0.636     6.234e-005 -7.186e-002  7.186e-002  -89.950
9.574    0.656     6.769e-005 -7.420e-002  7.420e-002  -89.948
9.283    0.677     7.337e-005 -7.654e-002  7.654e-002  -89.945
9.008    0.697     7.940e-005 -7.888e-002  7.888e-002  -89.942
8.750    0.718     8.581e-005 -8.121e-002  8.121e-002  -89.939
8.506    0.739     9.260e-005 -8.355e-002  8.355e-002  -89.937
8.275    0.759     9.981e-005 -8.589e-002  8.589e-002  -89.933
8.056    0.780     1.074e-004 -8.824e-002  8.824e-002  -89.930
7.849    0.801     1.155e-004 -9.058e-002  9.058e-002  -89.927
7.652    0.821     1.241e-004 -9.292e-002  9.292e-002  -89.923
7.465    0.842     1.331e-004 -9.526e-002  9.526e-002  -89.920
7.286    0.862     1.427e-004 -9.761e-002  9.761e-002  -89.916
7.116    0.883     1.528e-004 -9.995e-002  9.995e-002  -89.912
6.954    0.904     1.635e-004 -1.023e-001  1.023e-001  -89.908
6.799    0.924     1.747e-004 -1.046e-001  1.046e-001  -89.904
6.651    0.945     1.866e-004 -1.070e-001  1.070e-001  -89.900
6.509    0.965     1.992e-004 -1.093e-001  1.093e-001  -89.896
6.373    0.986     2.124e-004 -1.117e-001  1.117e-001  -89.891
6.242    1.007     2.263e-004 -1.141e-001  1.141e-001  -89.886
6.117    1.027     2.410e-004 -1.164e-001  1.164e-001  -89.881
5.997    1.048     2.565e-004 -1.188e-001  1.188e-001  -89.876
5.881    1.068     2.727e-004 -1.211e-001  1.211e-001  -89.871
5.770    1.089     2.898e-004 -1.235e-001  1.235e-001  -89.866
5.663    1.110     3.078e-004 -1.258e-001  1.258e-001  -89.860
5.560    1.130     3.268e-004 -1.282e-001  1.282e-001  -89.854
5.460    1.151     3.466e-004 -1.305e-001  1.305e-001  -89.848
5.364    1.171     3.675e-004 -1.329e-001  1.329e-001  -89.842
5.271    1.192     3.895e-004 -1.353e-001  1.353e-001  -89.835
5.182    1.213     4.125e-004 -1.376e-001  1.376e-001  -89.828
5.095    1.233     4.367e-004 -1.400e-001  1.400e-001  -89.821
5.011    1.254     4.621e-004 -1.424e-001  1.424e-001  -89.814
4.930    1.274     4.888e-004 -1.447e-001  1.447e-001  -89.807
4.852    1.295     5.167e-004 -1.471e-001  1.471e-001  -89.799
4.776    1.316     5.460e-004 -1.495e-001  1.495e-001  -89.791
4.702    1.336     5.767e-004 -1.519e-001  1.519e-001  -89.782
4.631    1.357     6.089e-004 -1.542e-001  1.542e-001  -89.774
4.562    1.377     6.426e-004 -1.566e-001  1.566e-001  -89.765
4.494    1.398     6.779e-004 -1.590e-001  1.590e-001  -89.756
4.429    1.419     7.149e-004 -1.614e-001  1.614e-001  -89.746
4.366    1.439     7.536e-004 -1.637e-001  1.637e-001  -89.736
4.304    1.460     7.942e-004 -1.661e-001  1.661e-001  -89.726
4.244    1.480     8.366e-004 -1.685e-001  1.685e-001  -89.716
4.186    1.501     8.810e-004 -1.709e-001  1.709e-001  -89.705
4.129    1.522     9.274e-004 -1.733e-001  1.733e-001  -89.693
4.074    1.542     9.760e-004 -1.757e-001  1.757e-001  -89.682
4.020    1.563     1.027e-003 -1.781e-001  1.781e-001  -89.670
3.968    1.583     1.080e-003 -1.805e-001  1.805e-001  -89.657
3.917    1.604     1.136e-003 -1.829e-001  1.829e-001  -89.644
3.867    1.625     1.194e-003 -1.853e-001  1.853e-001  -89.631
3.819    1.645     1.254e-003 -1.877e-001  1.877e-001  -89.617
3.772    1.666     1.318e-003 -1.901e-001  1.901e-001  -89.603
3.726    1.686     1.384e-003 -1.925e-001  1.925e-001  -89.588
3.681    1.707     1.453e-003 -1.949e-001  1.949e-001  -89.573
3.637    1.728     1.526e-003 -1.973e-001  1.973e-001  -89.557
3.594    1.748     1.601e-003 -1.997e-001  1.997e-001  -89.541
3.552    1.769     1.680e-003 -2.021e-001  2.021e-001  -89.524
3.511    1.789     1.763e-003 -2.045e-001  2.045e-001  -89.506
3.471    1.810     1.849e-003 -2.069e-001  2.069e-001  -89.488
3.432    1.831     1.939e-003 -2.093e-001  2.093e-001  -89.469
3.394    1.851     2.032e-003 -2.118e-001  2.118e-001  -89.450
3.357    1.872     2.130e-003 -2.142e-001  2.142e-001  -89.430
3.320    1.892     2.233e-003 -2.166e-001  2.166e-001  -89.409
3.284    1.913     2.339e-003 -2.190e-001  2.190e-001  -89.388
3.249    1.934     2.451e-003 -2.215e-001  2.215e-001  -89.366
3.215    1.954     2.567e-003 -2.239e-001  2.239e-001  -89.343
3.182    1.975     2.689e-003 -2.263e-001  2.263e-001  -89.319
3.149    1.995     2.815e-003 -2.288e-001  2.288e-001  -89.295
3.117    2.016     2.948e-003 -2.312e-001  2.312e-001  -89.270
3.085    2.037     3.086e-003 -2.336e-001  2.337e-001  -89.243
3.054    2.057     3.230e-003 -2.361e-001  2.361e-001  -89.216
3.024    2.078     3.380e-003 -2.385e-001  2.385e-001  -89.188
2.994    2.098     3.537e-003 -2.410e-001  2.410e-001  -89.159
2.965    2.119     3.700e-003 -2.434e-001  2.434e-001  -89.129
2.936    2.140     3.871e-003 -2.459e-001  2.459e-001  -89.098
2.908    2.160     4.048e-003 -2.483e-001  2.483e-001  -89.066
2.881    2.181     4.234e-003 -2.508e-001  2.508e-001  -89.033
2.854    2.202     4.427e-003 -2.532e-001  2.532e-001  -88.998
2.828    2.222     4.629e-003 -2.556e-001  2.557e-001  -88.963
2.802    2.243     4.838e-003 -2.581e-001  2.581e-001  -88.926
2.776    2.263     5.055e-003 -2.605e-001  2.606e-001  -88.888
2.751    2.284     5.279e-003 -2.630e-001  2.630e-001  -88.850
2.726    2.305     5.510e-003 -2.654e-001  2.655e-001  -88.811
2.702    2.325     5.747e-003 -2.679e-001  2.679e-001  -88.771
2.679    2.346     5.991e-003 -2.703e-001  2.704e-001  -88.730
2.655    2.366     6.240e-003 -2.727e-001  2.728e-001  -88.689
2.632    2.387     6.492e-003 -2.752e-001  2.752e-001  -88.648
2.610    2.408     6.742e-003 -2.776e-001  2.776e-001  -88.609
2.588    2.428     6.980e-003 -2.800e-001  2.800e-001  -88.572
2.566    2.449     7.207e-003 -2.824e-001  2.825e-001  -88.538
2.544    2.469     7.429e-003 -2.848e-001  2.849e-001  -88.506
2.523    2.490     7.664e-003 -2.872e-001  2.873e-001  -88.472
2.503    2.511     7.925e-003 -2.897e-001  2.898e-001  -88.433
2.482    2.531     8.204e-003 -2.922e-001  2.923e-001  -88.392
2.462    2.552     8.469e-003 -2.947e-001  2.948e-001  -88.354
2.443    2.572     8.691e-003 -2.972e-001  2.973e-001  -88.325
2.423    2.593     8.876e-003 -2.997e-001  2.999e-001  -88.304
2.404    2.614     9.090e-003 -3.023e-001  3.025e-001  -88.278
2.385    2.634     9.389e-003 -3.049e-001  3.051e-001  -88.236
2.367    2.655     9.753e-003 -3.075e-001  3.077e-001  -88.183
2.349    2.675     1.016e-002 -3.101e-001  3.102e-001  -88.123
2.331    2.696     1.060e-002 -3.126e-001  3.128e-001  -88.058
2.313    2.717     1.108e-002 -3.151e-001  3.153e-001  -87.986
2.295    2.737     1.160e-002 -3.177e-001  3.179e-001  -87.909
2.278    2.758     1.208e-002 -3.203e-001  3.205e-001  -87.840
2.261    2.778     1.252e-002 -3.229e-001  3.231e-001  -87.779
2.245    2.799     1.300e-002 -3.254e-001  3.257e-001  -87.713
2.228    2.820     1.351e-002 -3.279e-001  3.282e-001  -87.640
2.212    2.840     1.406e-002 -3.304e-001  3.307e-001  -87.564
2.196    2.861     1.464e-002 -3.329e-001  3.333e-001  -87.482
2.181    2.881     1.527e-002 -3.355e-001  3.358e-001  -87.393
2.165    2.902     1.618e-002 -3.381e-001  3.385e-001  -87.260
2.150    2.923     1.679e-002 -3.399e-001  3.403e-001  -87.172
2.135    2.943     1.720e-002 -3.425e-001  3.430e-001  -87.126
2.120    2.964     1.785e-002 -3.451e-001  3.455e-001  -87.040
2.105    2.984     1.854e-002 -3.476e-001  3.481e-001  -86.947
2.091    3.005     1.925e-002 -3.501e-001  3.506e-001  -86.853
2.077    3.026     1.997e-002 -3.526e-001  3.532e-001  -86.759
2.063    3.046     2.070e-002 -3.550e-001  3.557e-001  -86.663
2.049    3.067     2.146e-002 -3.575e-001  3.581e-001  -86.565
2.035    3.087     2.223e-002 -3.599e-001  3.606e-001  -86.465
2.022    3.108     2.303e-002 -3.623e-001  3.630e-001  -86.362
2.008    3.129     2.386e-002 -3.647e-001  3.655e-001  -86.257
1.995    3.149     2.470e-002 -3.670e-001  3.679e-001  -86.150
1.982    3.170     2.557e-002 -3.694e-001  3.703e-001  -86.040
1.969    3.190     2.646e-002 -3.717e-001  3.727e-001  -85.929
1.957    3.211     2.736e-002 -3.740e-001  3.750e-001  -85.816
1.944    3.232     2.828e-002 -3.763e-001  3.774e-001  -85.702
1.932    3.252     2.922e-002 -3.786e-001  3.797e-001  -85.586
1.920    3.273     3.018e-002 -3.808e-001  3.820e-001  -85.469
1.908    3.293     3.116e-002 -3.831e-001  3.843e-001  -85.350
1.896    3.314     3.215e-002 -3.853e-001  3.866e-001  -85.230
1.884    3.335     3.315e-002 -3.874e-001  3.888e-001  -85.109
1.873    3.355     3.417e-002 -3.896e-001  3.911e-001  -84.987
1.861    3.376     3.520e-002 -3.917e-001  3.933e-001  -84.864
1.850    3.396     3.624e-002 -3.938e-001  3.954e-001  -84.741
1.839    3.417     3.729e-002 -3.958e-001  3.976e-001  -84.617
1.828    3.438     3.835e-002 -3.978e-001  3.997e-001  -84.493
1.817    3.458     3.942e-002 -3.998e-001  4.017e-001  -84.369
1.806    3.479     4.049e-002 -4.018e-001  4.038e-001  -84.245
1.795    3.499     4.156e-002 -4.037e-001  4.058e-001  -84.121
1.785    3.520     4.264e-002 -4.056e-001  4.078e-001  -83.998
1.775    3.541     4.371e-002 -4.074e-001  4.098e-001  -83.876
1.764    3.561     4.478e-002 -4.092e-001  4.117e-001  -83.755
1.754    3.582     4.584e-002 -4.110e-001  4.136e-001  -83.636
1.744    3.603     4.690e-002 -4.128e-001  4.154e-001  -83.518
1.734    3.623     4.794e-002 -4.145e-001  4.172e-001  -83.402
1.724    3.644     4.897e-002 -4.161e-001  4.190e-001  -83.288
1.715    3.664     4.999e-002 -4.178e-001  4.208e-001  -83.177
1.705    3.685     5.099e-002 -4.194e-001  4.225e-001  -83.069
1.696    3.706     5.196e-002 -4.210e-001  4.242e-001  -82.964
1.686    3.726     5.292e-002 -4.226e-001  4.259e-001  -82.862
1.677    3.747     5.384e-002 -4.241e-001  4.275e-001  -82.764
1.668    3.767     5.474e-002 -4.256e-001  4.291e-001  -82.670
1.659    3.788     5.562e-002 -4.271e-001  4.307e-001  -82.581
1.650    3.809     5.646e-002 -4.286e-001  4.323e-001  -82.495
1.641    3.829     5.726e-002 -4.300e-001  4.338e-001  -82.415
1.632    3.850     5.804e-002 -4.315e-001  4.354e-001  -82.339
1.623    3.870     5.877e-002 -4.329e-001  4.369e-001  -82.269
1.615    3.891     5.947e-002 -4.344e-001  4.384e-001  -82.203
1.606    3.912     6.014e-002 -4.358e-001  4.399e-001  -82.143
1.598    3.932     6.077e-002 -4.372e-001  4.414e-001  -82.088
1.590    3.953     6.136e-002 -4.387e-001  4.430e-001  -82.038
1.581    3.973     6.191e-002 -4.402e-001  4.445e-001  -81.994
1.573    3.994     6.243e-002 -4.417e-001  4.461e-001  -81.954
1.565    4.015     6.292e-002 -4.432e-001  4.476e-001  -81.920
1.557    4.035     6.337e-002 -4.448e-001  4.492e-001  -81.891
1.549    4.056     6.380e-002 -4.463e-001  4.509e-001  -81.866
1.541    4.076     6.420e-002 -4.480e-001  4.526e-001  -81.845
1.534    4.097     6.458e-002 -4.497e-001  4.543e-001  -81.828
1.526    4.118     6.494e-002 -4.514e-001  4.561e-001  -81.813
1.518    4.138     6.530e-002 -4.532e-001  4.579e-001  -81.802
1.511    4.159     6.564e-002 -4.551e-001  4.598e-001  -81.793
1.503    4.179     6.598e-002 -4.570e-001  4.618e-001  -81.786
1.496    4.200     6.632e-002 -4.591e-001  4.638e-001  -81.780
--------------------------------------------------------------
WAVE ANGLE = 60.00
PERIOD   FREQ                           P6   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
--------------------------------------------------------------
62.832   0.100    -9.060e-004 -2.324e-003  2.495e-003 -111.296
52.098   0.121    -9.559e-004 -1.928e-003  2.152e-003 -116.373
44.497   0.141    -9.499e-004 -1.644e-003  1.899e-003 -120.017
38.831   0.162    -9.309e-004 -1.431e-003  1.707e-003 -123.041
34.445   0.182    -9.137e-004 -1.266e-003  1.561e-003 -125.823
30.949   0.203    -9.035e-004 -1.134e-003  1.450e-003 -128.540
28.098   0.224    -9.002e-004 -1.027e-003  1.366e-003 -131.225
25.727   0.244    -9.006e-004 -9.391e-004  1.301e-003 -133.802
23.726   0.265    -9.023e-004 -8.648e-004  1.250e-003 -136.218
22.013   0.285    -9.042e-004 -8.012e-004  1.208e-003 -138.455
20.531   0.306    -9.055e-004 -7.461e-004  1.173e-003 -140.512
19.236   0.327    -9.061e-004 -6.978e-004  1.144e-003 -142.402
18.095   0.347    -9.064e-004 -6.549e-004  1.118e-003 -144.148
17.081   0.368    -9.064e-004 -6.168e-004  1.096e-003 -145.767
16.175   0.388    -9.065e-004 -5.825e-004  1.078e-003 -147.274
15.361   0.409    -9.067e-004 -5.517e-004  1.061e-003 -148.680
14.624   0.430    -9.070e-004 -5.238e-004  1.047e-003 -149.993
13.955   0.450    -9.074e-004 -4.984e-004  1.035e-003 -151.221
13.344   0.471    -9.078e-004 -4.752e-004  1.025e-003 -152.372
12.785   0.491    -9.082e-004 -4.538e-004  1.015e-003 -153.451
12.270   0.512    -9.087e-004 -4.341e-004  1.007e-003 -154.465
11.796   0.533    -9.091e-004 -4.159e-004  9.997e-004 -155.419
11.357   0.553    -9.096e-004 -3.989e-004  9.932e-004 -156.319
10.949   0.574    -9.101e-004 -3.831e-004  9.874e-004 -157.169
10.569   0.594    -9.106e-004 -3.684e-004  9.823e-004 -157.972
10.215   0.615    -9.111e-004 -3.546e-004  9.777e-004 -158.734
9.884    0.636    -9.116e-004 -3.416e-004  9.735e-004 -159.456
9.574    0.656    -9.122e-004 -3.294e-004  9.699e-004 -160.143
9.283    0.677    -9.128e-004 -3.179e-004  9.666e-004 -160.796
9.008    0.697    -9.134e-004 -3.071e-004  9.636e-004 -161.418
8.750    0.718    -9.140e-004 -2.968e-004  9.610e-004 -162.012
8.506    0.739    -9.146e-004 -2.870e-004  9.586e-004 -162.579
