MOTIONS (ORIGIN OF INTERNAL CALCULATING COORDINATE, INTERPOLATE, ONLY RIDIG MODAL)
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P1   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
1.957    3.211     3.509e-002  5.459e-001  5.470e-001   86.322
1.944    3.232     3.541e-002  5.399e-001  5.410e-001   86.247
1.932    3.252     3.574e-002  5.340e-001  5.351e-001   86.171
1.920    3.273     3.605e-002  5.281e-001  5.293e-001   86.094
1.908    3.293     3.637e-002  5.222e-001  5.235e-001   86.017
1.896    3.314     3.667e-002  5.164e-001  5.177e-001   85.938
1.884    3.335     3.697e-002  5.107e-001  5.120e-001   85.860
1.873    3.355     3.726e-002  5.050e-001  5.064e-001   85.780
1.861    3.376     3.754e-002  4.993e-001  5.008e-001   85.701
1.850    3.396     3.780e-002  4.937e-001  4.952e-001   85.622
1.839    3.417     3.806e-002  4.882e-001  4.896e-001   85.542
1.828    3.438     3.829e-002  4.826e-001  4.842e-001   85.463
1.817    3.458     3.852e-002  4.771e-001  4.787e-001   85.385
1.806    3.479     3.872e-002  4.717e-001  4.733e-001   85.307
1.795    3.499     3.891e-002  4.663e-001  4.679e-001   85.230
1.785    3.520     3.907e-002  4.609e-001  4.626e-001   85.155
1.775    3.541     3.921e-002  4.556e-001  4.572e-001   85.080
1.764    3.561     3.933e-002  4.502e-001  4.520e-001   85.007
1.754    3.582     3.943e-002  4.450e-001  4.467e-001   84.936
1.744    3.603     3.950e-002  4.397e-001  4.415e-001   84.867
1.734    3.623     3.955e-002  4.345e-001  4.363e-001   84.799
1.724    3.644     3.956e-002  4.293e-001  4.311e-001   84.735
1.715    3.664     3.955e-002  4.241e-001  4.260e-001   84.672
1.705    3.685     3.951e-002  4.190e-001  4.209e-001   84.613
1.696    3.706     3.944e-002  4.139e-001  4.157e-001   84.556
1.686    3.726     3.935e-002  4.088e-001  4.107e-001   84.502
1.677    3.747     3.922e-002  4.037e-001  4.056e-001   84.451
1.668    3.767     3.906e-002  3.986e-001  4.005e-001   84.403
1.659    3.788     3.887e-002  3.936e-001  3.955e-001   84.359
1.650    3.809     3.866e-002  3.885e-001  3.904e-001   84.318
1.641    3.829     3.841e-002  3.835e-001  3.854e-001   84.280
1.632    3.850     3.814e-002  3.785e-001  3.804e-001   84.246
1.623    3.870     3.784e-002  3.734e-001  3.753e-001   84.214
1.615    3.891     3.751e-002  3.684e-001  3.703e-001   84.186
1.606    3.912     3.716e-002  3.634e-001  3.653e-001   84.162
1.598    3.932     3.678e-002  3.584e-001  3.603e-001   84.140
1.590    3.953     3.639e-002  3.534e-001  3.553e-001   84.122
1.581    3.973     3.597e-002  3.484e-001  3.503e-001   84.106
1.573    3.994     3.553e-002  3.434e-001  3.453e-001   84.093
1.565    4.015     3.508e-002  3.385e-001  3.403e-001   84.083
1.557    4.035     3.461e-002  3.335e-001  3.353e-001   84.075
1.549    4.056     3.413e-002  3.285e-001  3.303e-001   84.069
1.541    4.076     3.363e-002  3.235e-001  3.253e-001   84.066
1.534    4.097     3.311e-002  3.185e-001  3.203e-001   84.065
1.526    4.118     3.259e-002  3.135e-001  3.152e-001   84.067
1.518    4.138     3.205e-002  3.086e-001  3.102e-001   84.070
1.511    4.159     3.151e-002  3.036e-001  3.052e-001   84.075
1.503    4.179     3.096e-002  2.987e-001  3.003e-001   84.081
1.496    4.200     3.042e-002  2.938e-001  2.953e-001   84.088
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P2   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
--------------------------------------------------------------
62.832   0.100    -2.804e-013  1.244e-016  2.804e-013    0.000
52.098   0.121    -9.947e-014 -9.489e-016  9.947e-014    0.000
